Srno,Company,Timestamp,Title,Description
71,Bharat Petrolium,"28 Mar,2024, 09:09PM IST",Intimation regarding postal ballot result along with Scrutinizer''s report.,Intimation regarding postal ballot result along with Scrutinizer''s report.
72,Bharat Petrolium,"27 Mar 2024, 08:30PM IST",Haldia Petrochemicals seeks local Indian naphtha supplies amid Red Sea disruption: CEO,"The company, which owns a naphtha cracker producing 700,000 metric tons per year in the eastern state of West Bengal, sources 50% of its feedstock from the Middle East and relies on local refiners like Indian Oil, HPCL and BPCL for the rest of its feedstock needs."
73,Bharat Petrolium,"27 Mar,2024, 05:18PM IST",Intimation on loss of share certificate,Intimation on loss of share certificate
74,Bharat Petrolium,"27 Mar,2024, 03:13PM IST",Intimation on closure of trading window,Intimation on closure of trading window
75,Bharat Petrolium,"27 Mar 2024, 01:24PM IST","T+0 trade settlement scrip list released: Bajaj Auto, SBI, and 3 Tata Group stocks part of the list",Stock exchanges will introduce the beta version of ‘T+0’ or same-day trade settlement in the 25 scrips in the cash segment from Thursday.
76,Bharat Petrolium,"22 Mar 2024, 05:34AM IST",Powell Ahoy! Beaten down SMid caps get a Fed boost,"The BSE Sensex gained 0.75% or 539.50 points to close at 72,641.19, while the Nifty advanced 0.79% or 172.85 points to close at 22011.95."
77,Bharat Petrolium,"21 Mar 2024, 02:52PM IST","Buy or Sell? Here's what brokerages say on IOCL, BPCL and HPCL shares","Oil marketing companies' stocks recover 5.3% after 11% decline due to government's Rs 2/litre petrol and diesel price cut before elections. Nomura is bullish on OMC stocks, Macquarie us cautious and Kotak has a negative outlook."
78,Bharat Petrolium,"20 Mar 2024, 11:45PM IST","Oil companies jump into EV charging; Offer facilities at over 15,000 petrol pumps","India has 89,000 petrol pumps, of which 17% now have EV charging facilities. Indian Oil, the largest fuel retailer in the country, has 8,760 filling stations with EV chargers, or nearly a quarter of the total 32,000 pumps it operates. HPCL's 3,050 pumps and BPCL's 2,640 pumps have chargers."
79,Bharat Petrolium,"20 Mar,2024, 06:55PM IST",Intimation on loss of share certificates,Intimation on loss of share certificates
80,Bharat Petrolium,"20 Mar 2024, 10:00AM IST","Hot Stocks: Brokerages on Eicher Motors, OMCs, Syrma SGS, Kaynes Tech & Hindustan Foods","UBS upgraded Eicher Motors to Buy with Rs 5,000 target, addressing competition concerns. Jefferies started Buy on Syrma SGS, Hold on Kaynes Technologies. Nomura has positive views on OMCs. B&K recommends Buy on Hindustan Foods for strong growth and debt reduction."
81,Infosys,"28 Apr 2024, 12:51PM IST","Mcap of 6 most valued firms rise Rs 1.30 trillion; SBI, ICICI Bank top gainers","?The combined market valuation of six of the top-10 most valued firms increased Rs 1,30,734.57 crore last week, with State Bank of India and ICICI Bank emerging as the biggest gainers in line with an overall positive trend in equities."
82,Infosys,"26 Apr 2024, 08:33PM IST","Deals, hiring show HCL Tech can tap expected IT bounce","Revenue in the major markets of the US and Europe grew sequentially by 4.2% and 2.3%, respectively, while major business verticals also showed higher revenue. But what sets HCLTech apart from peers is the fact that it continued to add headcount during the quarter."
83,Infosys,"25 Apr 2024, 09:21PM IST",Ahead of Market: 10 things that will decide D-Street action on Friday,"Sensex on Thursday surged 487 points to settle at 74,339. NSE Nifty advanced 168 points to close at 22,570. Nifty formed a bullish engulfing candle following a series of small candles"
84,Infosys,"24 Apr 2024, 03:51PM IST","Sensex, Nifty rise for 4th day; focus on key earnings this week","The 30-share BSE benchmark Sensex closed 114 points or 0.16% higher at 73,852. The broader NSE Nifty closed 34 points or 0.15% higher at 22,402. Nifty Metal index appreciated 2.7% as global prices rebounded from a fall in the previous session. Heavyweight banking and financials rose 0.5%."
85,Infosys,"24 Apr 2024, 09:28AM IST","HDFC Bank, RIL drive Sensex 200 pts higher; Nifty above 22,400","Benchmark equity indices rose tracking global markets, driven by Reliance Industries and HDFC Bank. BSE Sensex gained 209 points, Nifty50 up 52 points. Leading gainers were HDFC Bank, Axis Bank, TCS, Tata Motors, Nifty Metal, Auto, Pharma, Healthcare, Oil & Gas also increased."
86,Infosys,"24 Apr 2024, 05:32AM IST","D-Street goes short on fear, VIX plunges 20%","""The drop in VIX is unprecedented, as previously readings of VIX near 8-9% were seen when markets were making a top. This is showing that traders have become overly positive about the upcoming days."""
87,Infosys,"23 Apr,2024, 08:47PM IST",Enclosed,Enclosed
88,Infosys,"23 Apr,2024, 07:36PM IST",Disclosure under Regulation 30 of SEBI LODR Regulations,Disclosure under Regulation 30 of SEBI LODR Regulations
89,Infosys,"23 Apr 2024, 03:51PM IST","Sensex, Nifty end marginally higher; RIL limits upside","The 30-share BSE benchmark Sensex edged up 90 points or 0.12% to settle at 73,738 and the broader NSE Nifty rose 32 points or 0.14% to end at 22,368. Bharti Airtel, ITC, Infosys, SBI, Maruti, and Tata Motors were the top contributors to the Sensex."
90,Infosys,"23 Apr 2024, 09:31AM IST","Sensex rises for 3rd straight day, up 300 pts tracking global cues; Nifty above 22,400","Indian benchmark indices rose with financial, IT stocks, and Reliance Industries leading the gains. Markets rose with various stocks contributing positively. External factors and market concerns are being closely monitored."
91,Infosys,"23 Apr 2024, 08:05AM IST","Big movers on D-Street: What should investors do with TVS Motor, Berger Paint and Tata Communications?","Stocks that were in focus included names like TVS Motor, which rose 2.22%, Berger Paint, which increased 0.7%, and Tata Communication, whose shares declined 1.55% on Monday."
92,Infosys,"23 Apr 2024, 06:00AM IST","Europe emerges as hotspot for Indian IT M&As, tops buy chart","Indian IT giants are on a European shopping spree, snapping up companies at a rapid clip. Europe's booming tech sector, outpacing North America, has fueled over a dozen acquisitions since the pandemic."
93,Infosys,"22 Apr 2024, 04:11PM IST","IT, financials lead Sensex rally, boosting investor wealth by Rs 4 lakh crore","Sensex surged 560 points, Nifty gained 189 points. Top contributors were ICICI Bank, L&T, Infosys, Axis Bank, Reliance Industries, SBI, Bajaj Finance. Conversely, HDFC Bank and NTPC weighed on the index."
94,Infosys,"22 Apr 2024, 01:10PM IST",Amit Shah declares more than Rs 1 crore worth of shares in each of these 10 stocks,"BJP leader Amit Shah has declared a diverse stock portfolio, with investments in over 180 companies. Their top 10 stock bets are concentrated in specific companies, with significant holdings in various sectors like banking, FMCG, and pharma."
95,Infosys,"22 Apr 2024, 10:28AM IST","FIIs raise bet on TCS, Infosys, 4 other IT stocks in Q4. Time for a U-turn?","FIIs raised stakes in multiple IT stocks in Q4, hoping for a turnaround in FY25. However, they sold IT stocks in April, leading to a 4.4% drop in the Nifty IT index. Various companies and sectors were involved in these transactions."
96,Infosys,"22 Apr 2024, 06:30AM IST",ESG mutual funds: Why these MFs may not be the right choice for investors,"Having failed to beat even simpler fund categories, ESG funds may not be the right choice for investors."
97,Infosys,"21 Apr 2024, 05:01PM IST",Ahead of Market: 10 things that will decide stock action on Monday,"Indian benchmark equity indices defied global weakness to close higher on Friday, boosted by HDFC Bank, although the gains were not enough to prevent their first weekly loss in five on worries over the Middle East conflict and U.S. rates."
98,Infosys,"21 Apr 2024, 10:25AM IST","Six of top 10 valued firms take Rs 1.40 lakh cr hit in mcap;TCS, Infosys biggest laggards","?The combined market valuation of six of the top 10 valued firms eroded by Rs 1,40,478.38 crore in a holiday-shortened week, with IT majors Tata Consultancy Services (TCS) and Infosys taking the maximum hit."
99,Infosys,"21 Apr 2024, 10:06AM IST","Q4 results this week: RIL, ICICI Bank, HCL Tech, among 166 companies that'll announce earnings","?With Wipro and Infosys’ results out this week, the fourth quarter earnings season will now pick up pace as the upcoming week will witness the results for Axis Bank, ICICI Prudential Life Insurance, Mahindra & Mahindra Financial Services, Tata Elxsi, along with 167 other companies."
100,Infosys,"20 Apr 2024, 09:39AM IST",Brokerages cut target prices on Infosys after muted guidance,"Brokerages adjust Infosys' share targets post revenue cut. Stock at ?1,411.95, target post Q4: ?1,582.12 (12% upside). Analysts note slow discretionary demand despite sector bottoming out, Infosys' attractive valuation."
